Non-terminals/Terminals,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_GT,TK_LT,TK_EQ,TK_NE,TK_LE,TK_GE,TK_AND,TK_OR,TK_NOT,TK_ASSIGNOP,TK_DOT,TK_COMMA,TK_COLON,TK_SEM,TK_OP,TK_CL,TK_SQL,TK_SQR,TK_ID,TK_FUNID,TK_FIELDID,TK_RUID,TK_NUM,TK_RNUM,TK_INT,TK_REAL,TK_LIST,TK_RECORD,TK_UNION,TK_TYPE,TK_IF,TK_THEN,TK_ELSE,TK_ENDIF,TK_WHILE,TK_ENDWHILE,TK_MAIN,TK_PARAMETERS,TK_PARAMETER,TK_GLOBAL,TK_RETURN,TK_CALL,TK_INPUT,TK_OUTPUT,TK_READ,TK_WRITE,TK_DEFINETYPE,TK_WITH,TK_AS,TK_END,TK_ENDRECORD,TK_ENDUNION,TK_COMMENT,EPS,END_OF_INPUT,
program,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<program> ---> <otherFunctions> <mainFunction> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<program> ---> <otherFunctions> <mainFunction> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
mainFunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<mainFunction> ---> TK_MAIN <stmts> TK_END ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
otherFunctions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<otherFunctions> ---> <function> <otherFunctions> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<otherFunctions> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
function,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<function> ---> TK_FUNID <input_par> <output_par> TK_SEM <stmts> TK_END ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stmts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,-,-,-,-,-,-,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,-,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,-,-,-,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,-,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,<stmts> ---> <typeDefinitions> <declarations> <otherStmts> <returnStmt> ,-,-,-,-,-,-,-,-,
otherStmts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<otherStmts> ---> <stmt> <otherStmts> ,-,<otherStmts> ---> <stmt> <otherStmts> ,-,-,-,-,-,-,-,-,-,-,-,<otherStmts> ---> <stmt> <otherStmts> ,-,<otherStmts> ---> EPS ,<otherStmts> ---> EPS ,<otherStmts> ---> <stmt> <otherStmts> ,<otherStmts> ---> EPS ,-,-,-,-,<otherStmts> ---> EPS ,<otherStmts> ---> <stmt> <otherStmts> ,-,-,<otherStmts> ---> <stmt> <otherStmts> ,<otherStmts> ---> <stmt> <otherStmts> ,-,-,-,-,-,-,-,-,-,
stmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<stmt> ---> <funCallStmt> ,-,<stmt> ---> <assignmentStmt> ,-,-,-,-,-,-,-,-,-,-,-,<stmt> ---> <conditionalStmt> ,-,-,-,<stmt> ---> <iterativeStmt> ,-,-,-,-,-,-,<stmt> ---> <funCallStmt> ,-,-,<stmt> ---> <ioStmt> ,<stmt> ---> <ioStmt> ,-,-,-,-,-,-,-,-,-,
parameter_list,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<parameter_list> ---> <dataType> TK_ID <remaining_list> ,-,-,<parameter_list> ---> <dataType> TK_ID <remaining_list> ,<parameter_list> ---> <dataType> TK_ID <remaining_list> ,-,<parameter_list> ---> <dataType> TK_ID <remaining_list> ,<parameter_list> ---> <dataType> TK_ID <remaining_list> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
input_par,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<input_par> ---> TK_INPUT TK_PARAMETER TK_LIST TK_SQL <parameter_list> TK_SQR ,-,-,-,-,-,-,-,-,-,-,-,-,
output_par,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<output_par> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<output_par> ---> TK_OUTPUT TK_PARAMETER TK_LIST TK_SQL <parameter_list> TK_SQR ,-,-,-,-,-,-,-,-,-,-,-,
